Threshold_type,RMSDq_sigmaCH4_slope,RMSDc_sigmaCH4_slope,RMSDT_sigmaCH4_slope,RMSDq_sigmaCH4ust_slope,RMSDc_sigmaCH4ust_slope,RMSDT_sigmaCH4ust_slope
NonEb_LinReg,1.127568,1.200858,2.021119,0.224538,0.233705,0.372727
All_LinReg,1.320428,1.490975,2.389510,0.269114,0.307155,0.465999
QuantReg_q5,0.723048,0.810307,1.147250,0.148679,0.157430,0.220164
QuantReg_q15,0.894554,0.956249,1.420547,0.184434,0.226646,0.313084
QuantReg_q25,1.045137,1.077411,1.965514,0.229903,0.262818,0.350371
QuantReg_q33,1.113209,1.176088,2.104202,0.254318,0.279834,0.439181
QuantReg_q40,1.130730,1.220328,2.278640,0.270600,0.304779,0.459200
QuantReg_q50,1.156698,1.350294,2.397085,0.310705,0.345320,0.564740
QuantReg_q75,1.457043,1.751687,2.956327,0.393755,0.427960,0.810761
QuantReg_q95,2.475452,2.633615,3.915215,0.503639,0.603569,0.995223
